name;type
Chevron;company
General Mills;company
Newmont Mining;company
Barrick Gold;company
China Railway Construction;company
Haier Smart Home;company
Anhui Conch Cement;company
Discover Financial Services;company
Texas Instruments;company
DNB;company
Total;company
Nintendo;company
Fortescue Metals Group;company
China Yangtze Power;company
Cardinal Health;company
Canadian National Railway;company
BP;company
Walt Disney;company
Hyundai Mobis;company
Eaton;company
Principal Financial Group;company
New China Life Insurance;company
Johnson Controls International;company
Woolworths;company
RWE Group;company
Bank Of Jiangsu;company
Santander;company
Bank Rakyat Indonesia (BRI);company
Fujitsu;company
Maybank;company
Toyota Industries;company
Larsen & Toubro;company
Gazprom;company
Norfolk Southern;company
Synchrony Financial;company
Keurig Dr Pepper;company
L3Harris Technologies;company
Greenland Holdings Group;company
BAE Systems;company
Waste Management;company
Brookfield Asset Management;company
Xcel Energy;company
Anheuser-Busch InBev;company
Raytheon Technologies;company
Emerson Electric;company
Al Rajhi Bank;company
Boeing;company
Sherwin-Williams;company
VMware;company
Ally Financial;company
China Merchants Shekou Industrial Zone Holdings;company
Imperial Brands;company
American Tower;company
Norilsk Nickel;company
China National Building;company
Samsung Life Insurance;company
Emirates NBD;company
Ford Motor;company
Starbucks;company
China Communications Construction;company
CTBC Financial;company
AIRBUS;company
Telecom Italia;company
Zijin Mining Group;company
National Bank of Canada;company
SEB AB;company
Sompo;company
Aon;company
Weichai Power;company
Carrier Global;company
Saint-Gobain;company
Murata Manufacturing;company
Hengli Petrochemical;company
Recruit Holdings;company
Cosco Shipping;company
Bristol Myers Squibb;company
Danske Bank;company
Cummins;company
OMV Group;company
Saudi Electricity;company
Glencore International;company
D.R. Horton;company
Best Buy;company
Prudential Financial;company
Stellantis;company
Suzuki Motor;company
BASF;company
Canon;company
Fast Retailing;company
Fifth Third Bank;company
CME Group;company
EnBW-Energie Baden;company
Samsung C&T;company
CRRC;company
Bayer;company
Toyota Tsusho;company
Public Service Enterprise Group;company
Phoenix Group Holdings;company
Consolidated Edison;company
Kimberly-Clark;company
Wesfarmers;company
Bank Central Asia;company
Kraft Heinz Company;company
Paccar;company
American International Group;company
Mitsubishi Estate;company
Equinor;company
DTE Energy;company
Lenovo Group;company
Fujifilm Holdings;company
Colgate-Palmolive;company
Hana Financial Group;company
Kotak Mahindra Bank;company
Telstra;company
Biogen;company
Talanx;company
Carrefour;company
Standard Chartered;company
Svenska Handelsbanken;company
Sumitomo Mitsui Trust;company
DISH Network;company
Meituan;company
Walgreens;company
BYD;company
Fosun International;company
ENGIE;company
Eni;company
Kubota;company
Shimao Property Holdings;company
CK Asset Holdings;company
Bank of Nanjing;company
Edp-energias De Portugal;company
LukOil;company
Sany Heavy Industry;company
Grupo Mexico;company
Michelin Group;company
Komatsu;company
NetEase;company
Asahi Group Holdings;company
SK Telecom;company
Air Products & Chemicals;company
Athene Holding;company
eBay;company
Freeport-McMoRan;company
Power Construction Corporation of China;company
LG Chem;company
Saudi Basic Industries;company
Bouygues;company
Citizens Bank (Rhode IsIand);company
Capgemini;company
Edison International;company
Magna International;company
Dollar Tree;company
Telenor;company
China Zheshang Bank;company
Entergy;company
Lam Research;company
Infosys;company
The Est�e Lauder Companies;company
China Tower Corp.;company
Corteva;company
CSL;company
Safran;company
Banorte;company
KeyCorp;company
Lufax Holding;company
Harvard University;university
Massachusetts Institute of Technology;university
Stanford University;university
University of Cambridge;university
California Institute of Technology;university
Princeton University;university
University of Oxford;university
Yale University;university
Columbia University;university
University of California, Berkeley;university
University of Chicago;university
Cornell University;university
University of Pennsylvania;university
University of Tokyo;university
Johns Hopkins University;university
Swiss Federal Institute of Technology in Zurich;university
Kyoto University;university
Weizmann Institute of Science;university
University of California, Los Angeles;university
University of California, San Diego;university
Rockefeller University;university
Hebrew University of Jerusalem;university
New York University;university
University of California, San Francisco;university
University of Wisconsin–Madison;university
University of Illinois at Urbana–Champaign;university
Duke University;university
Imperial College London;university
University of Texas Southwestern Medical Center;university
University of Texas at Austin;university
University College London;university
Osaka University;university
Northwestern University;university
University of Michigan, Ann Arbor;university
University of Toronto;university
University of North Carolina at Chapel Hill;university
Washington University in St. Louis;university
University of Utah;university
University of Washington - Seattle;university
University of California, Santa Barbara;university
McGill University;university
Purdue University, West Lafayette;university
Carnegie Mellon University;university
University of Southern California;university
University of California, Davis;university
University of Colorado Boulder;university
University of California, Irvine;university
University of Paris-Sud;university
University of Minnesota, Twin Cities;university
University of Arizona;university
Technion – Israel Institute of Technology;university
Ohio State University, Columbus;university
University of Rochester;university
École normale supérieure - Paris;university
University of Florida;university
Tel Aviv University;university
Rice University;university
Dartmouth College;university
Vanderbilt University;university
University of Edinburgh;university
École Polytechnique;university
Boston University;university
Pierre-and-Marie-Curie University;university
Pennsylvania State University, University Park;university
University of Geneva;university
Brown University;university
University of British Columbia;university
University of Maryland, College Park;university
Swiss Federal Institute of Technology in Lausanne;university
Karolinska Institute;university
University of Pittsburgh - Pittsburgh Campus;university
Rutgers University-New Brunswick;university
Texas A&M University, College Station;university
Nagoya University;university
Seoul National University;university
University of Manchester;university
Sapienza University of Rome;university
Case Western Reserve University;university
Tohoku University;university
Arizona State University;university
Emory University;university
Ruprecht Karl University of Heidelberg;university
Ludwig Maximilian University of Munich;university
University of Virginia;university
Leiden University;university
Tufts University;university
Georgia Institute of Technology;university
University of Zurich;university
University of Helsinki;university
Technical University of Munich;university
University of Oslo;university
University of Queensland;university
University of Copenhagen;university
University of Sydney;university
Williams College;university
University of Texas MD Anderson Cancer Center;university
University of Nottingham;university
University of Bristol;university
Utrecht University;university
Mines ParisTech;university
Harvard University;university
Stanford University;university
University of Oxford;university
Massachusetts Institute of Technology;university
University of Cambridge;university
Columbia University;university
University of California, Berkeley;university
Princeton University;university
University of Chicago;university
Yale University;university
California Institute of Technology;university
University of Pennsylvania;university
Cornell University;university
University of Tokyo;university
Kyoto University;university
University of California, Los Angeles;university
Johns Hopkins University;university
Swiss Federal Institute of Technology in Zurich;university
New York University;university
University of California, San Diego;university
Hebrew University of Jerusalem;university
University of California, San Francisco;university
University of Wisconsin–Madison;university
University of Illinois at Urbana–Champaign;university
Duke University;university
University of Texas at Austin;university
Imperial College London;university
Northwestern University;university
University of Toronto;university
University College London;university
University of Washington - Seattle;university
University of Michigan, Ann Arbor;university
Weizmann Institute of Science;university
University of North Carolina at Chapel Hill;university
Osaka University;university
University of Paris-Sud;university
University of California, Santa Barbara;university
Purdue University, West Lafayette;university
University of Southern California;university
Seoul National University;university
University of Colorado Boulder;university
University of Utah;university
Rutgers University-New Brunswick;university
University of Minnesota, Twin Cities;university
University of Edinburgh;university
University of Texas Southwestern Medical Center;university
McGill University;university
Pierre-and-Marie-Curie University;university
Rockefeller University;university
Pennsylvania State University, University Park;university
Carnegie Mellon University;university
Ohio State University, Columbus;university
University of California, Davis;university
Boston University;university
University of Florida;university
University of Geneva;university
Tel Aviv University;university
University of British Columbia;university
University of Maryland, College Park;university
Karolinska Institute;university
Vanderbilt University;university
Sapienza University of Rome;university
Washington University in St. Louis;university
École normale supérieure - Paris;university
University of California, Irvine;university
Technion – Israel Institute of Technology;university
Ludwig Maximilian University of Munich;university
University of Copenhagen;university
University of Pittsburgh - Pittsburgh Campus;university
Keio University;university
University of Virginia;university
University of Manchester;university
Arizona State University;university
University of Zurich;university
King's College London;university
University of Rochester;university
Brown University;university
University of Arizona;university
Ruprecht Karl University of Heidelberg;university
Texas A&M University, College Station;university
University of Oslo;university
Dartmouth College;university
Swiss Federal Institute of Technology in Lausanne;university
Utrecht University;university
Indiana University - Bloomington;university
École Polytechnique;university
National University of Singapore;university
University of Texas MD Anderson Cancer Center;university
Stony Brook University;university
Lomonosov Moscow State University;university
Nagoya University;university
University of Sydney;university
Emory University;university
Rice University;university
Tohoku University;university
Australian National University;university
University of Alberta;university
University of Helsinki;university
Paris Diderot University - Paris 7;university
Georgia Institute of Technology;university
Harvard University;university
Stanford University;university
Massachusetts Institute of Technology;university
University of Cambridge;university
University of Oxford;university
Columbia University;university
University of California, Berkeley;university
University of Chicago;university
Princeton University;university
Yale University;university
Cornell University;university
California Institute of Technology;university
University of Tokyo;university
University of Pennsylvania;university
University of California, Los Angeles;university
Kyoto University;university
New York University;university
Swiss Federal Institute of Technology in Zurich;university
Johns Hopkins University;university
University of California, San Diego;university
University of Michigan, Ann Arbor;university
Hebrew University of Jerusalem;university
Northwestern University;university
Seoul National University;university
University of Wisconsin–Madison;university
Duke University;university
University of California, San Francisco;university
University of Illinois at Urbana–Champaign;university
University of Texas at Austin;university
University College London;university
University of Toronto;university
University of Washington - Seattle;university
Rutgers University-New Brunswick;university
Keio University;university
École normale supérieure - Paris;university
École Polytechnique;university
Rockefeller University;university
Weizmann Institute of Science;university
Imperial College London;university
Waseda University;university
University of Virginia;university
McGill University;university
Osaka University;university
Dartmouth College;university
University of North Carolina at Chapel Hill;university
Pennsylvania State University, University Park;university
Ohio State University, Columbus;university
Lomonosov Moscow State University;university
University of Minnesota, Twin Cities;university
University of Paris-Sud;university
University of Southern California;university
Purdue University, West Lafayette;university
University of Pittsburgh - Pittsburgh Campus;university
Carnegie Mellon University;university
Peking University;university
University of Edinburgh;university
University of California, Davis;university
Washington University in St. Louis;university
University of Florida;university
University of California, Santa Barbara;university
University of British Columbia;university
University of Utah;university
University of Colorado Boulder;university
University of Notre Dame;university
National Taiwan University;university
University of Texas Southwestern Medical Center;university
Boston University;university
Pierre-and-Marie-Curie University;university
University of Manchester;university
University of Arizona;university
Vanderbilt University;university
Tohoku University;university
Karolinska Institute;university
National University of Singapore;university
University of Geneva;university
University of Maryland, College Park;university
University of Rochester;university
Emory University;university
University of Copenhagen;university
University of California, Irvine;university
Brown University;university
Ludwig Maximilian University of Munich;university
Georgia Institute of Technology;university
Tufts University;university
University of Zurich;university
Tel Aviv University;university
Tsinghua University;university
Utrecht University;university
Ruprecht Karl University of Heidelberg;university
King's College London;university
Sapienza University of Rome;university
Kyushu University;university
Swiss Federal Institute of Technology in Lausanne;university
Katholieke Universiteit Leuven;university
University of Sydney;university
Tokyo Institute of Technology;university
University of Melbourne;university
University of Bonn;university
Technical University of Munich;university
Royal Institute of Technology;university
Erasmus University Rotterdam;university
Case Western Reserve University;university
University of Alberta;university
University of Texas MD Anderson Cancer Center;university
Texas A&M University, College Station;university
Arizona State University;university
Yonsei University;university
Rice University;university
Technion – Israel Institute of Technology;university
University of Helsinki;university
University of Oslo;university
Michigan State University;university
Indiana University - Bloomington;university
University of the Witwatersrand;university
University of Queensland;university
Lund University;university
Leiden University;university
Georgetown University;university
Aarhus University;university
University of Barcelona;university
Baylor College of Medicine;university
University of Amsterdam;university
University of Bristol;university
Uppsala University;university
University of Iowa;university
Stony Brook University;university
University of Groningen;university
Korea Advanced Institute of Science and Technology (KAIST);university
Radboud University Nijmegen;university
Korea University;university
University of São Paulo;university
Nagoya University;university
University of Colorado Denver;university
University of Montreal;university
Albert Ludwig University of Freiburg;university
Ghent University;university
University of Glasgow;university
University of Miami;university
Université libre de Bruxelles;university
Paris Diderot University - Paris 7;university
McMaster University;university
University of Birmingham;university
University of Texas at Dallas;university
VU University Amsterdam;university
Wake Forest University;university
University of Southampton;university
University of Nottingham;university
Nanyang Technological University;university
University of New South Wales;university
Osaka City University;university
University of Leeds;university
Western University (The University of Western Ontario);university
Kobe University;university
University of Basel;university
University of Hong Kong;university
Indiana University-Purdue University Indianapolis;university
Humboldt University of Berlin;university
Free University of Berlin;university
University of Tübingen;university
Australian National University;university
Goethe University Frankfurt;university
University of Houston;university
University of California, Santa Cruz;university
University of Alabama at Birmingham;university
Icahn School of Medicine at Mount Sinai;university
University of Calgary;university
Mines ParisTech;university
University of Gothenburg;university
University of Göttingen;university
Monash University;university
Southern Methodist University;university
Yeshiva University;university
University of South Florida - Tampa;university
Hanyang University;university
Oregon Health & Science University;university
University of Strasbourg;university
University of Cincinnati;university
University of Sheffield;university
University of Hamburg;university
George Washington University;university
University of Milan;university
Iowa State University;university
University of Maryland, Baltimore;university
University of Padua;university
University of New Mexico;university
Pohang University of Science and Technology;university
Stockholm University;university
Hokkaido University;university
Fudan University;university
University of Sussex;university
Université catholique de Louvain;university
Wayne State University;university
University of Massachusetts Medical School;university
University of Lausanne;university
Shanghai Jiao Tong University;university
University of Missouri–Columbia;university
Technical University of Denmark;university
Complutense University of Madrid;university
University of Cologne;university
Trinity College, Dublin;university
University of Bern;university
Chinese University of Hong Kong;university
University of Kansas;university
Sungkyunkwan University;university
University of Vienna;university
Zhejiang University;university
University of Georgia;university
University of Massachusetts Amherst;university
Cardiff University;university
University of Münster;university
University of Liverpool;university
University of Ottawa;university
University of Erlangen-Nuremberg;university
Queen Mary University of London;university
Karlsruhe Institute of Technology;university
Louisiana State University - Baton Rouge;university
Nanjing University;university
University of Illinois at Chicago;university
University of Bologna;university
University of Manitoba;university
Joseph Fourier University;university
University of California, Riverside;university
Julius-Maximilian's University of Würzburg;university
Aix-Marseille University;university
University of Western Australia;university
Laval University;university
University of Tennessee, Knoxville;university
North Carolina State University;university
Newcastle University;university
Claude Bernard University Lyon 1;university
University of Turin;university
University of Kiel;university
University of Connecticut;university
Tulane University;university
University of Oklahoma - Norman Campus;university
Brandeis University;university
Dresden University of Technology;university
RWTH Aachen University;university
University of Texas Health Science Center at San Antonio;university
Virginia Commonwealth University;university
University of Montpellier 2;university
Dalian University of Technology;university
Rensselaer Polytechnic Institute;university
Paul Sabatier University - Toulouse III;university
Paris Descartes University;university
National Cheng Kung University;university
University of Delaware;university
Vrije Universiteit Brussel;university
Johannes Gutenberg University of Mainz;university
Maastricht University;university
University of Düsseldorf;university
University of Dundee;university
University of Tsukuba;university
Autonomous University of Barcelona;university
Florida State University;university
University of Texas at San Antonio;university
London School of Hygiene & Tropical Medicine;university
Lehigh University;university
University of Kentucky;university
Thomas Jefferson University;university
Drexel University;university
Colorado State University - Fort Collins;university
University of Leicester;university
Durham University;university
Oregon State University;university
University of Florence;university
University of Cape Town;university
University at Buffalo, The State University of New York;university
University College Dublin;university
University of Science and Technology of China;university
Virginia Polytechnic Institute and State University;university
University of Naples Federico II;university
University of Auckland;university
University of Texas Health Science Center at Houston;university
Delft University of Technology;university
University of Aberdeen;university
Queen's University;university
University of Lisbon;university
Hiroshima University;university
University of Waterloo;university
Okayama University;university
University of Ulm;university
Chulalongkorn University;university
Dalhousie University;university
Saint Petersburg State University;university
Norwegian University of Science and Technology;university
University of Reading;university
Wageningen University and Research Centre;university
Umeå University;university
University of Porto;university
Hong Kong University of Science and Technology;university
Sun Yat-sen University;university
Medical College of Wisconsin;university
City College of New York;university
Hannover Medical School;university
Washington State University, Pullman;university
Technical University of Berlin;university
University of South Carolina - Columbia;university
Leipzig University;university
University of Stuttgart;university
University of Valencia;university
Linköping University;university
University of Duisburg-Essen;university
Ruhr University Bochum;university
University of Bergen;university
London School of Economics;university
Wesleyan University;university
University of Pisa;university
Autonomous University of Madrid;university
Medical University of Vienna;university
Stellenbosch University;university
Medical University of South Carolina;university
Charles University in Prague;university
Kyungpook National University;university
University of Science, Malaysia;university
University of Liège;university
University of Hull;university
Northeastern University;university
Kansas State University;university
University of Vermont;university
Rush University;university
University of Louisville;university
University of St Andrews;university
University of Warwick;university
University of Rome Tor Vergata;university
University of Innsbruck;university
Darmstadt University of Technology;university
Indian Institute of Technology Delhi;university
Federal University of Rio de Janeiro;university
University of Antwerp;university
National and Kapodistrian University of Athens;university
Boston College;university
Vita-Salute San Raffaele University;university
Gwangju Institute of Science and Technology;university
University of Nebraska–Lincoln;university
University of York;university
National Autonomous University of Mexico;university
University of Regensburg;university
Yokohama National University;university
University of Adelaide;university
University of Genoa;university
Queen's University Belfast;university
University of Marburg;university
University of Pavia;university
St George's, University of London;university
University of Oregon;university
University of Navarra;university
San Diego State University;university
Nankai University;university
University of East Anglia;university
University of Nebraska Medical Center;university
University of Southern Denmark;university
Eindhoven University of Technology;university
Xiamen University;university
University of Otago;university
University of Santiago de Compostela;university
University of Exeter;university
University of Jena;university
University of Perugia;university
Justus Liebig University Giessen;university
College of William and Mary;university
Ben-Gurion University of the Negev;university
Saint Louis University;university
Colorado School of Mines;university
Oklahoma State University–Stillwater;university
University of Guelph;university
University of Trieste;university
University of Verona;university
University at Albany, SUNY;university
Tongji University;university
Eötvös Loránd University;university
University of Alabama - Tuscaloosa;university
University of Eastern Finland;university
Ewha Womans University;university
City University of Hong Kong;university
Tokyo Medical and Dental University;university
University of Victoria;university
University of Buenos Aires;university
University of Texas Medical Branch at Galveston;university
Kyung Hee University;university
Hong Kong Polytechnic University;university
Saarland University;university
Scuola Normale Superiore di Pisa;university
University of Seville;university
Beijing Normal University;university
Chiba University;university
University of Ferrara;university
University of Bari Aldo Moro;university
Polytechnic University of Milan;university
Temple University;university
University of Turku;university
Aalto University;university
Simon Fraser University;university
Tianjin University;university
Chalmers University of Technology;university
Middle East Technical University;university
Cranfield University;university
York University;university
Xi'an Jiaotong University;university
Chonnam National University;university
University of Central Florida;university
University of Lorraine;university
University of Bordeaux II;university
University of New Hampshire;university
Versailles Saint-Quentin-en-Yvelines University;university
Chonbuk National University;university
Kumamoto University;university
Huazhong University of Science and Technology;university
Brunel University;university
Polytechnic University of Catalonia;university
National Chiao Tung University;university
Southeast University;university
Tokyo University of Science;university
Catholic University of the Sacred Heart;university
Brigham Young University;university
Technical University of Madrid;university
Nagasaki University;university
National Tsing Hua University;university
University of Warsaw;university
King Saud University;university
University of Bath;university
Concordia University;university
Georgia Regents University;university
Niigata University;university
University of Oulu;university
Pompeu Fabra University;university
Vienna University of Technology;university
Sogang University;university
Gyeongsang National University;university
University of Tampere;university
University of Milan - Bicocca;university
University of Bordeaux I;university
Swedish University of Agricultural Sciences;university
George Mason University;university
Jilin University;university
University of Delhi;university
University of Campinas;university
Wuhan University;university
West Virginia University;university
Pusan National University;university
University of Mississippi - Oxford Campus;university
University of Arkansas for Medical Sciences;university
Miami University;university
University of Tokushima;university
University of Twente;university
Loyola University Chicago;university
Ajou University;university
Syracuse University;university
Lancaster University;university
Pontifical Catholic University of Chile;university
University of Chile;university
Innsbruck Medical University;university
University of Granada;university
Kanazawa University;university
University of Parma;university
University of Siena;university
Shandong University;university
Technical University of Dortmund;university
University of KwaZulu-Natal;university
University of Nevada, Reno;university
Yokohama City University;university
École normale supérieure de Lyon;university
University College Cork;university
Ohio University;university
Central South University;university
University of Modena and Reggio Emilia;university
New Mexico State University;university
University of Konstanz;university
University of Hawaii at Manoa;university
University of Nebraska Omaha;university
Shinshu University;university
University of Strathclyde;university
Baylor University;university
Polytechnic University of Valencia;university
Harbin Institute of Technology;university
University of Rennes 1;university
University of Arkansas - Fayetteville;university
Aristotle University of Thessaloniki;university
Jagiellonian University;university
Texas Tech University (TTU);university
University of Rostock;university
University of Akron;university
University of Saskatchewan;university
Juntendo University;university
University of Wyoming;university
Macquarie University;university
University of Canterbury;university
University of Denver;university
Illinois Institute of Technology;university
Creighton University;university
Bielefeld University;university
University of Malaya;university
University of Ulsan;university
City University London;university
Grenoble Institute of Technology;university
Federal University of Minas Gerais;university
University of Hanover;university
South China University of Technology;university
University of Surrey;university
Otto-von-Guericke University Magdeburg;university
Indian Institute of Science;university
Tokyo Metropolitan University;university
Bar-Ilan University;university
Mississippi State University;university
University of Maryland, Baltimore County;university
University of Wollongong;university
Flinders University;university
Martin Luther University of Halle-Wittenberg;university
Graduate University for Advanced Studies;university
Clemson University;university
University of Brescia;university
Georgia State University;university
Dongguk University;university
University of Fribourg;university
Sichuan University;university
University of Iceland;university
University of Sherbrooke;university
University of Graz;university
University of Málaga;university
University of Zaragoza;university
New York Medical College;university
SUNY Downstate Medical Center;university
École Centrale Paris;university
Utah State University;university
University of Ljubljana;university
University of Montpellier 1;university
Victoria University of Wellington;university
East China University of Science and Technology;university
Konkuk University;university
University of Potsdam;university
University of the Basque Country;university
University of Nice Sophia Antipolis;university
University of Udine;university
National Yang-Ming University;university
Indian Institute of Technology Bombay;university
University of Bayreuth;university
University of Wisconsin–Milwaukee;university
University of Dayton;university
Nihon University;university
Montana State University - Bozeman;university
Royal Holloway, University of London;university
Tokyo Women's Medical University;university
Panjab University;university
Tampere University of Technology;university
University of Coimbra;university
University of Newcastle;university
Nara Institute of Science and Technology;university
Auburn University;university
University of Bremen;university
Mahidol University;university
University of Crete;university
Bangor University;university
University of Aveiro;university
University of Palermo;university
Nagoya City University;university
University of Tartu;university
University of Savoy;university
University of Tromsø - The Arctic University of Norway;university
University of Missouri–Kansas City;university
Beihang University;university
American University of Beirut;university
University of Nantes;university
University of Essex;university
University of Zagreb;university
National Central University;university
University Lille 1: Sciences and Technologies;university
University of Catania;university
National Polytechnic Institute of Toulouse;university
Indian Institute of Technology Kanpur;university
Kagoshima University;university
Lanzhou University;university
James Cook University;university
Shizuoka University;university
Indian Institute of Technology Kharagpur;university
Second University of Naples;university
Indian Institute of Technology Madras;university
Plymouth University;university
International School for Advanced Studies;university
Polytechnic University of Turin;university
University of Oviedo;university
Ehime University;university
University of Ioannina;university
University of Cagliari;university
Tottori University;university
Federal University of Rio Grande do Sul;university
Kent State University;university
University of Los Andes (Colombia);university
Hunan University;university
Tokai University;university
LSU Health Sciences Center New Orleans;university
Southern Illinois University Carbondale;university
Tata Institute of Fundamental Research;university
Aalborg University;university
Osaka Prefecture University;university
Chang Gung University;university
Northern Illinois University;university
University of Trento;university
Semmelweis University;university
University of Science and Technology Beijing;university
